Text,Rätt Kategori,Modell_Kategori,Tid (s),Rätt,Model,Antal Artiklar,Korrekt Klassifikation,Accuracy,Precision,Recall,CPU,GPU,Genomsnitt tid för artiklar
"Peugeot deal boosts Mitsubishi

Struggling Japanese car maker Mitsubishi Motors has struck a deal to supply French car m...",business,business,0.34,True,,,,,,,,,
"Telegraph newspapers axe 90 jobs

The Daily and Sunday Telegraph newspapers are axing 90 journalist jobs - 17% of their ...",business,business,0.38,True,,,,,,,,,
"Air passengers win new EU rights

Air passengers who are unable to board their flights because of overbooking, cancellat...",business,Business,0.43,True,,,,,,,,,
"China keeps tight rein on credit

China's efforts to stop the economy from overheating by clamping down on credit will c...",business,business,0.32,True,,,,,,,,,
"Parmalat boasts doubled profits

Parmalat, the Italian food group at the centre of one of Europe's most painful corporat...",business,Business,0.32,True,,,,,,,,,
"India's rupee hits five-year high

India's rupee has hit a five-year high after Standard & Poor's (S&P) raised the count...",business,business,0.3,True,,,,,,,,,
"India widens access to telecoms

India has raised the limit for foreign direct investment in telecoms companies from 49%...",business,business,0.32,True,,,,,,,,,
"Call centre users 'lose patience'

Customers trying to get through to call centres are getting impatient and quicker to ...",business,Business,0.45,True,,,,,,,,,
"Rank 'set to sell off film unit'

Leisure group Rank could unveil plans to demerge its film services unit and sell its m...",business,Business,0.36,True,,,,,,,,,
"Sluggish economy hits German jobs

The number of people out of work in Europe's largest economy has risen for the tenth ...",business,business,0.33,True,,,,,,,,,
"Mixed signals from French economy

The French economy picked up speed at the end of 2004, official figures show - but st...",business,business,0.31,True,,,,,,,,,
"US trade gap hits record in 2004

The gap between US exports and imports hit an all-time high of $671.7bn (£484bn) in 20...",business,business,0.37,True,,,,,,,,,
"Yukos loses US bankruptcy battle

A judge has dismissed an attempt by Russian oil giant Yukos to gain bankruptcy protect...",business,Business,0.39,True,,,,,,,,,
"Safety alert as GM recalls cars

The world's biggest carmaker General Motors (GM) is recalling nearly 200,000 vehicles i...",business,Business,0.34,True,,,,,,,,,
"Steel firm 'to cut' 45,000 jobs

Mittal Steel, one of the world's largest steel producers, could cut up to 45,000 jobs o...",business,Business,0.33,True,,,,,,,,,
"Strong demand triggers oil rally

Crude oil prices surged back above the $47 a barrel mark on Thursday after an energy m...",business,business,0.31,True,,,,,,,,,
"UK firm faces Venezuelan land row

Venezuelan authorities have said they will seize land owned by a British company as p...",business,Business,0.4,True,,,,,,,,,
"Soaring oil 'hits world economy'

The soaring cost of oil has hit global economic growth, although world's major economi...",business,business,0.42,True,,,,,,,,,
"Irish markets reach all-time high

Irish shares have risen to a record high, with investors persuaded to buy into the ma...",business,business,0.37,True,,,,,,,,,
"Japanese banking battle at an end

Japan's Sumitomo Mitsui Financial has withdrawn its takeover offer for rival bank UFJ...",business,Business,0.35,True,,,,,,,,,
"Rich grab half Colombia poor fund

Half of the money put aside by the Colombian government to help the country's poor is...",business,business,0.32,True,,,,,,,,,
"Rover deal 'may cost 2,000 jobs'

Some 2,000 jobs at MG Rover's Midlands plant may be cut if investment in the firm by a...",business,Business,0.39,True,,,,,,,,,
"Ad firm WPP's profits surge 15%

UK advertising giant WPP has posted larger-than-expected annual profits and predicted t...",business,Business,0.37,True,,,,,,,,,
"US gives foreign firms extra time

Foreign firms have been given an extra year to meet tough new corporate governance re...",business,Business,0.4,True,,,,,,,,,
"Japanese mogul arrested for fraud

One of Japan's best-known businessmen was arrested on Thursday on charges of falsifyi...",business,Business,0.42,True,,,,,,,,,
"Deutsche Telekom sees mobile gain

German telecoms firm Deutsche Telekom saw strong fourth quarter profits on the back o...",business,business,0.31,True,,,,,,,,,
"Chinese wine tempts Italy's Illva

Italy's Illva Saronno has agreed to buy 33% of Changyu, the largest wine maker in Chi...",business,Business,0.32,True,,,,,,,,,
"Umbro profits lifted by Euro 2004

UK sportswear firm Umbro has posted a 222% rise in annual profit after sales of repli...",business,Business,0.32,True,,,,,,,,,
"Fed chief warning on US deficit

Federal Reserve chairman Alan Greenspan has warned that allowing huge US budget deficit...",business,business,0.34,True,,,,,,,,,
"UK Coal plunges into deeper loss

Shares in UK Coal have fallen after the mining group reported losses had deepened to £...",business,business,0.34,True,,,,,,,,,
"Saudi ministry to employ women

Women will be employed in Saudi Arabia's foreign ministry for the first time this year, ...",business,Politics,0.31,False,,,,,,,,,
"Japan economy slides to recession

The Japanese economy has officially gone back into recession for the fourth time in a...",business,business,0.38,True,,,,,,,,,
"US crude prices surge above $53

US crude prices have soared to fresh four-month highs above $53 in the US as refinery p...",business,business,0.35,True,,,,,,,,,
"Industrial output falls in Japan

Japanese industrial output fell in October while unemployment rose, casting further do...",business,business,0.34,True,,,,,,,,,
"Ryanair in $4bn Boeing plane deal

Budget airline Ryanair has placed an order for 70 Boeing 737-800 planes, in a deal va...",business,business,0.35,True,,,,,,,,,
"Parmalat to return to stockmarket

Parmalat, the Italian dairy company which went bust after an accounting scandal, hope...",business,business,0.33,True,,,,,,,,,
"BMW cash to fuel Mini production

Less than four years after the new Mini was launched, German car maker BMW has announc...",business,Business,0.45,True,,,,,,,,,
"Bad weather hits Nestle sales

A combination of bad weather, rising raw material costs and the sluggish European economy...",business,Business,0.34,True,,,,,,,,,
"Fiat mulls Ferrari market listing

Ferrari could be listed on the stock market as part of an overhaul of Fiat's carmakin...",business,business,0.34,True,,,,,,,,,
"Italy to get economic action plan

Italian Prime Minister Silvio Berlusconi will unveil plans aimed at kickstarting the ...",business,business,0.4,True,,,,,,,,,
"Weak dollar hits Reuters

Revenues at media group Reuters slipped 11% during 2004, mainly due to the weakness of the dol...",business,business,0.33,True,,,,,,,,,
"Hyundai to build new India plant

South Korea's Hyundai Motor has announced that it plans to build a second plant in Ind...",business,business,0.32,True,,,,,,,,,
"SA unveils 'more for all' budget

The South African government has put tax cuts and increased social spending at the cen...",business,business,0.38,True,,,,,,,,,
"BMW drives record sales in Asia

BMW has forecast sales growth of at least 10% in Asia this year after registering recor...",business,Business,0.34,True,,,,,,,,,
"Economy 'stronger than forecast'

The UK economy probably grew at a faster rate in the third quarter than the 0.4% repor...",business,business,0.38,True,,,,,,,,,
"Electrolux to export Europe jobs

Electrolux saw its shares rise 14% on Tuesday after it said it would be shifting more ...",business,Business,0.31,True,,,,,,,,,
"Worldcom ex-boss launches defence

Lawyers defending former WorldCom chief Bernie Ebbers against a battery of fraud char...",business,Business,0.34,True,,,,,,,,,
"Insurance bosses plead guilty

Another three US insurance executives have pleaded guilty to fraud charges stemming from ...",business,Business,0.3,True,,,,,,,,,
"Further rise in UK jobless total

The UK's jobless total rose for the second month in a row in December, official figure...",business,business,0.34,True,,,,,,,,,
"Wembley firm won't make a profit

Shares in Multiplex Group, which is building the new Wembley stadium, fell as much as ...",business,Business,0.37,True,,,,,,,,,
"Cars pull down US retail figures

US retail sales fell 0.3% in January, the biggest monthly decline since last August, d...",business,Business,0.35,True,,,,,,,,,
"Lufthansa may sue over Bush visit

German airline Lufthansa may sue federal agencies for damages after the arrival of US...",business,Business,0.34,True,,,,,,,,,
"EU aiming to fuel development aid

European Union finance ministers meet on Thursday to discuss proposals, including a t...",business,Business,0.36,True,,,,,,,,,
"German business confidence slides

German business confidence fell in February knocking hopes of a speedy recovery in Eu...",business,business,0.35,True,,,,,,,,,
"FAO warns on impact of subsidies

Billions of farmers' livelihoods are at risk from falling commodity prices and protect...",business,business,0.34,True,,,,,,,,,
"India seeks to boost construction

India has cleared a proposal allowing up to 100% foreign direct investment in its con...",business,Business,0.37,True,,,,,,,,,
"Boeing unveils new 777 aircraft

US aircraft firm Boeing has unveiled its new long-distance 777 plane, as it tries to re...",business,business,0.44,True,,,,,,,,,
"Circuit City gets takeover offer

Circuit City Stores, the second-largest electronics retailer in the US, has received a...",business,Business,0.3,True,,,,,,,,,
"Japan turns to beer alternatives

Japanese brewers are increasingly making money from beer-flavoured drinks rather than ...",business,Business,0.32,True,,,,,,,,,
"S Korean consumers spending again

South Korea looks set to sustain its revival thanks to renewed private consumption, i...",business,business,0.32,True,,,,,,,,,
"German growth goes into reverse

Germany's economy shrank 0.2% in the last three months of 2004, upsetting hopes of a su...",business,business,0.32,True,,,,,,,,,
"Turkey-Iran mobile deal 'at risk'

Turkey's investment in Iran's mobile industry looks set to be scrapped after its bigg...",business,Business,0.33,True,,,,,,,,,
"EU ministers to mull jet fuel tax

European Union finance ministers are meeting on Thursday in Brussels, where they are ...",business,Business,0.3,True,,,,,,,,,
"Palestinian economy in decline

Despite a short-lived increase in Palestinian jobs in 2003, the economy is performing we...",business,business,0.33,True,,,,,,,,,
"China had role in Yukos split-up

China lent Russia $6bn (£3.2bn) to help the Russian government renationalise the key Y...",business,Business,0.4,True,,,,,,,,,
"Deadline nears for Fiat-GM deal

Fiat and General Motors (GM) have until midnight on 1 February to settle a disagreement...",business,business,0.33,True,,,,,,,,,
"ID theft surge hits US consumers

Almost a quarter of a million US consumers complained of being targeted for identity t...",business,Business,0.33,True,,,,,,,,,
"Argentina, Venezuela in oil deal

Argentina and Venezuela have extended a food-for-oil deal, which helped the former to ...",business,Business,0.31,True,,,,,,,,,
"BMW to recall faulty diesel cars

BMW is to recall all cars equipped with a faulty diesel fuel-injection pump supplied b...",business,Business,0.32,True,,,,,,,,,
"Takeover rumour lifts Exel shares

Shares in storage and delivery firm Exel closed up 9% at a two-and-a-half year high o...",business,Business,0.31,True,,,,,,,,,
"Yukos accused of lying to court

Russian oil firm Yukos lied to a US court in an attempt to stop the Russian government ...",business,Business,0.41,True,,,,,,,,,
"Mexican in US send $16bn home

Mexican labourers living in the US sent a record $16.6bn (£8.82bn) home last year.

The B...",business,Business,0.31,True,,,,,,,,,
"Home loan approvals rising again

The number of mortgages approved in the UK has risen for the first time since May last...",business,Business,0.31,True,,,,,,,,,
"Manufacturing recovery 'slowing'

UK manufacturing grew at its slowest pace in one-and-a-half years in January, accordin...",business,business,0.33,True,,,,,,,,,
"Worldcom boss 'left books alone'

Former Worldcom boss Bernie Ebbers, who is accused of overseeing an $11bn (£5.8bn) fra...",business,Business,0.37,True,,,,,,,,,
"Metlife buys up Citigroup insurer

US banking giant Citigroup has sold its Travelers Life & Annuity insurance arm to Met...",business,business,0.32,True,,,,,,,,,
"Europe blames US over weak dollar

European leaders have openly blamed the US for the sharp rise in the value of the eur...",business,Business,0.39,True,,,,,,,,,
"French wine gets 70m euro top-up

The French government is to hand its struggling wine industry 70m euros ($91m) in aid ...",business,Business,0.38,True,,,,,,,,,
"Russia gets investment blessing

Soaring oil sales and a budget surplus mean Russian debt is no longer a risky investmen...",business,business,0.34,True,,,,,,,,,
"Iranian MPs threaten mobile deal

Turkey's biggest private mobile firm could bail out of a $3bn ($1.6bn) deal to build a...",business,Business,0.39,True,,,,,,,,,
"Argentina closes $102.6bn debt swap

Argentina is set to close its $102.6bn (£53.51bn) debt restructuring offer for bond...",business,business,0.38,True,,,,,,,,,
"US economy shows solid GDP growth

The US economy has grown more than expected, expanding at an annual rate of 3.8% in t...",business,business,0.34,True,,,,,,,,,
"Profits slide at India's Dr Reddy

Profits at Indian drugmaker Dr Reddy's fell 93% as research costs rose and sales flag...",business,Business,0.36,True,,,,,,,,,
"Burren awarded Egyptian contracts

British energy firm Burren Energy has been awarded two potentially lucrative oil expl...",business,business,0.29,True,,,,,,,,,
"'Strong dollar' call halts slide

The US dollar's slide against the euro and yen has halted after US Treasury Secretary ...",business,business,0.39,True,,,,,,,,,
"IMF 'cuts' German growth estimate

The International Monetary Fund is to cut its 2005 growth forecast for the German eco...",business,business,0.31,True,,,,,,,,,
"GM, Ford cut output as sales fall

US car firms General Motors (GM) and Ford have been forced to cut production in the f...",business,business,0.38,True,,,,,,,,,
"Ebbers denies WorldCom fraud

Former WorldCom chief Bernie Ebbers has denied claims that he knew accountants were doctor...",business,Business,0.37,True,,,,,,,,,
"Australia rates at four year high

Australia is raising its benchmark interest rate to its highest level in four years d...",business,business,0.37,True,,,,,,,,,
"US company admits Benin bribery

A US defence and telecommunications company has agreed to pay $28.5m after admitting br...",business,Business,0.32,True,,,,,,,,,
"US insurer Marsh cuts 2,500 jobs

Up to 2,500 jobs are to go at US insurance broker Marsh & McLennan in a shake up follo...",business,Business,0.4,True,,,,,,,,,
"US seeks new $280bn smoker ruling

The US Justice Department is to try to overturn a court ruling that threw out its cla...",business,Business,0.37,True,,,,,,,,,
"Budget Aston takes on Porsche

British car maker Aston Martin has gone head-to-head with Porsche's 911 sports cars with ...",business,Business,0.31,True,,,,,,,,,
"Golden rule 'intact' says ex-aide

Chancellor Gordon Brown will meet his golden economic rule ""with a margin to spare"", ...",business,Business,0.32,True,,,,,,,,,
"Liberian economy starts to grow

The Liberian economy started to grow in 2004, but ""sustained and deep reform efforts"" a...",business,Business,0.33,True,,,,,,,,,
"Slowdown hits US factory growth

US industrial production increased for the 21st month in a row in February, but at a sl...",business,business,0.3,True,,,,,,,,,
"Lufthansa flies back to profit

German airline Lufthansa has returned to profit in 2004 after posting huge losses in 200...",business,business,0.3,True,,,,,,,,,
"Japanese growth grinds to a halt

Growth in Japan evaporated in the three months to September, sparking renewed concern ...",business,business,0.32,True,,,,,,,,,
"Unilever shake up as profit slips

Anglo-Dutch consumer goods giant Unilever is to merge its two management boards after...",business,Business,0.42,True,,,,,,,,,
"France Telecom gets Orange boost

Strong growth in subscriptions to mobile phone network Orange has helped boost profits...",business,business,0.35,True,,,,,,,,,
"Brussels raps mobile call charges

The European Commission has written to the mobile phone operators Vodafone and T-Mobi...",business,Business,0.36,True,,,,,,,,,
"WorldCom director admits lying

The former chief financial officer at US telecoms firm WorldCom has admitted before a Ne...",business,Business,0.36,True,,,,,,,,,
"Glaxo aims high after profit fall

GlaxoSmithKline saw its profits fall 9% last year to £6.2bn ($11.5bn), but Europe's b...",business,Business,0.31,True,,,,,,,,,
"Japan bank shares up on link talk

Shares of Sumitomo Mitsui Financial (SMFG), and Daiwa Securities jumped amid speculat...",business,Business,0.32,True,,,,,,,,,
"Car giant hit by Mercedes slump

A slump in profitability at luxury car maker Mercedes has prompted a big drop in profit...",business,business,0.39,True,,,,,,,,,
"Ericsson sees earnings improve

Telecoms equipment supplier Ericsson has posted a rise in fourth quarter profits thanks ...",business,business,0.34,True,,,,,,,,,
"Bank opts to leave rates on hold

The Bank of England has left interest rates on hold at 4.75% for a sixth month in a ro...",business,business,0.39,True,,,,,,,,,
"Nigeria to boost cocoa production

The government of Nigeria is hoping to triple cocoa production over the next three ye...",business,Business,0.34,True,,,,,,,,,
"US interest rates increased to 2%

US interest rates are to rise for the fourth time in five months, in a widely anticip...",business,business,0.41,True,,,,,,,,,
"US bank in $515m SEC settlement

Five Bank of America subsidiaries have agreed to pay a total of $515m (£277m) to settle...",business,Business,0.37,True,,,,,,,,,
"Train strike grips Buenos Aires

A strike on the Buenos Aires underground has caused traffic chaos and large queues at b...",business,Business,0.3,True,,,,,,,,,
"Bargain calls widen Softbank loss

Japanese communications firm Softbank has widened losses after heavy spending on a ne...",business,Business,0.3,True,,,,,,,,,
"WMC profits up amid bid criticism

Australian mining firm WMC Resources has seen a fivefold rise in profits while contin...",business,business,0.32,True,,,,,,,,,
"Barclays profits hit record level

Barclays, the UK's third-biggest bank, has seen annual pre-tax profits climb to recor...",business,business,0.37,True,,,,,,,,,
"Yukos owner sues Russia for $28bn

The majority owner of embattled Russian oil firm Yukos has sued the Russian governmen...",business,Business,0.4,True,,,,,,,,,
"Qantas sees profits fly to record

Australian airline Qantas has posted a record fiscal first-half profit thanks to cost...",business,business,0.36,True,,,,,,,,,
"Iraq to invite phone licence bids

Iraq is to invite bids for two telephone licences, saying it wants to significantly b...",business,Business,0.3,True,,,,,,,,,
"Aviation firms eye booming India

India's defence minister has opened the country's Aero India 2005 air show with an inv...",business,Business,0.39,True,,,,,,,,,
"Russian oil merger excludes Yukos

The merger of Russian gas giant Gazprom and oil firm Rosneft is to go ahead, but will...",business,business,0.39,True,,,,,,,,,
"Brazil buy boosts Belgium's Inbev

Belgian brewing giant Inbev has seen its profits soar thanks to its acquisition of Br...",business,business,0.32,True,,,,,,,,,
"Salary scandal in Cameroon

Cameroon says widespread corruption in its finance ministry has cost it 1bn CFA francs ($2m;...",business,Business,0.33,True,,,,,,,,,
"US adds more jobs than expected

The US economy added 337,000 jobs in October - a seven-month high and far more than Wal...",business,business,0.37,True,,,,,,,,,
"Feta cheese battle reaches court

A row over whether only Greece should be allowed to label its cheese feta has reached ...",business,Business,0.37,True,,,,,,,,,
"Ukraine revisits state sell-offs

Ukraine is preparing what could be a wholesale review of the privatisation of thousand...",business,Business,0.43,True,,,,,,,,,
"Bank set to leave rates on hold

UK interest rates are set to remain on hold at 4.75% following the latest meeting of th...",business,business,0.31,True,,,,,,,,,
"Winter freeze keeps oil above $50

Oil prices carried on rising on Wednesday after cold weather on both sides of the Nor...",business,business,0.34,True,,,,,,,,,
"German jobless rate at new record

More than 5.2 million Germans were out of work in February, new figures show.

The fi...",business,business,0.34,True,,,,,,,,,
"Ore costs hit global steel firms

Shares in steel firms have dropped worldwide amid concerns that higher iron ore costs ...",business,business,0.4,True,,,,,,,,,
"BMW reveals new models pipeline

BMW is preparing to enter the market for car-style people carriers, the firm's chief ha...",business,Business,0.32,True,,,,,,,,,
"Asian banks halt dollar's slide

The dollar regained some lost ground against most major currencies on Wednesday after S...",business,business,0.37,True,,,,,,,,,
"Weak dollar trims Cadbury profits

The world's biggest confectionery firm, Cadbury Schweppes, has reported a modest rise...",business,business,0.34,True,,,,,,,,,
"Oil prices fall back from highs

Oil prices retreated from four-month highs in early trading on Tuesday after producers'...",business,business,0.3,True,,,,,,,,,
"Winn-Dixie files for bankruptcy

US supermarket group Winn-Dixie has filed for bankruptcy protection after succumbing to...",business,Business,0.32,True,,,,,,,,,
"Why few targets are better than many

The economic targets set out at the Lisbon summit of European Union leaders in 200...",business,Business,0.51,True,,,,,,,,,
"Malaysia lifts Islamic bank limit

Malaysia's central bank is to relax restrictions on foreign ownership to encourage Is...",business,business,0.31,True,,,,,,,,,
"Alfa Romeos 'to get GM engines'

Fiat is to stop making six-cylinder petrol engines for its sporty Alfa Romeo subsidiary...",business,business,0.32,True,,,,,,,,,
"Saab to build Cadillacs in Sweden

General Motors, the world's largest car maker, has confirmed that it will build a new...",business,Business,0.43,True,,,,,,,,,
"Shares hit by MS drug suspension

Shares in Elan and Biogen Idec plunged on Monday as the firms suspended sales of new m...",business,Business,0.38,True,,,,,,,,,
"Bank voted 8-1 for no rate change

The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-...",business,business,0.32,True,,,,,,,,,
"Crude oil prices back above $50

Cold weather across parts of the United States and much of Europe has pushed US crude o...",business,business,0.36,True,,,,,,,,,
"House prices show slight increase

Prices of homes in the UK rose a seasonally adjusted 0.5% in February, says the Natio...",business,business,0.38,True,,,,,,,,,
"Golden rule boost for Chancellor

Chancellor Gordon Brown has been given a £2.1bn boost in his attempts to meet his gold...",business,Business,0.36,True,,,,,,,,,
"Macy's owner buys rival for $11bn

US retail giant Federated Department Stores is to buy rival May Department Stores for...",business,Business,0.33,True,,,,,,,,,
"Industrial revival hope for Japan

Japanese industry is growing faster than expected, boosting hopes that the country's ...",business,business,0.33,True,,,,,,,,,
"Khodorkovsky ally denies charges

A close associate of former Yukos boss Mikhail Khodorkovsky has told a court that frau...",business,Business,0.32,True,,,,,,,,,
"Qatar and Shell in $6bn gas deal

Shell has signed a $6bn (£3.12bn) deal with the Middle Eastern sheikhdom of Qatar to s...",business,business,0.3,True,,,,,,,,,
"India unveils anti-poverty budget

India is to boost spending on primary schools and health in a budget flagged as a boo...",business,Business,0.46,True,,,,,,,,,
"GM pays $2bn to evade Fiat buyout

General Motors of the US is to pay Fiat 1.55bn euros ($2bn; £1.1bn) to get out of a d...",business,Business,0.37,True,,,,,,,,,
"Ex-Boeing director gets jail term

An ex-chief financial officer at Boeing has received a four-month jail sentence and a...",business,Business,0.37,True,,,,,,,,,
"Verizon 'seals takeover of MCI'

Verizon has won a takeover battle for US phone firm MCI with a bid worth $6.8bn (£3.6bn...",business,business,0.33,True,,,,,,,,,
"US data sparks inflation worries

Wholesale prices in the US rose at the fastest rate in more than six years in January,...",business,business,0.38,True,,,,,,,,,
"Yukos sues four firms for $20bn

Russian oil firm Yukos has sued four companies for their role in last year's forced sta...",business,Business,0.38,True,,,,,,,,,
"Consumer spending lifts US growth

US economic growth accelerated in the third quarter, helped by strong consumer spendi...",business,business,0.37,True,,,,,,,,,
"Crossrail link 'to get go-ahead'

The £10bn Crossrail transport plan, backed by business groups, is to get the go-ahead ...",business,business,0.32,True,,,,,,,,,
"Hariri killing hits Beirut shares

Shares in Solidere, the Lebanese company founded by assassinated former prime ministe...",business,business,0.32,True,,,,,,,,,
"Small firms 'hit by rising costs'

Rising fuel and materials costs are hitting confidence among the UK's small manufactu...",business,Business,0.31,True,,,,,,,,,
"Buyers snap up Jet Airways' shares

Investors have snapped up shares in Jet Airways, India's biggest airline, following ...",business,business,0.3,True,,,,,,,,,
"House prices suffer festive fall

UK house prices fell 0.7% in December, according to figures from the Office of the Dep...",business,Business,0.32,True,,,,,,,,,
"Deutsche Boerse boosts dividend

Deutsche Boerse, the German stock exchange that is trying to buy its London rival, has ...",business,Business,0.32,True,,,,,,,,,
"Newest EU members underpin growth

The European Union's newest members will bolster Europe's economic growth in 2005, ac...",business,business,0.39,True,,,,,,,,,
"Brewers' profits lose their fizz

Heineken and Carlsberg, two of the world's largest brewers, have reported falling prof...",business,business,0.38,True,,,,,,,,,
"Yangtze Electric's profits double

Yangtze Electric Power, the operator of China's Three Gorges Dam, has said its profit...",business,Business,0.33,True,,,,,,,,,
"French consumer spending rising

French consumers increased their spending by 1.5% in January, a figure which bodes well...",business,business,0.33,True,,,,,,,,,
"GSK aims to stop Aids profiteers

One of the world's largest manufacturers of HIV/Aids drugs has launched an initiative ...",business,Business,0.32,True,,,,,,,,,
"Optimism remains over UK housing

The UK property market remains robust despite the recent slowdown, according to mortga...",business,Business,0.37,True,,,,,,,,,
"Russia WTO talks 'make progress'

Talks on Russia's proposed membership of the World Trade Organisation (WTO) have been ...",business,Business,0.32,True,,,,,,,,,
"Irish duo could block Man Utd bid

Irishmen JP McManus and John Magnier, who own a 29% stake in Manchester United, will ...",business,Business,0.31,True,,,,,,,,,
"Dollar drops on reserves concerns

The US dollar has dropped against major currencies on concerns that central banks may...",business,business,0.36,True,,,,,,,,,
"India and Russia in energy talks

India and Russia are to work together in a series of energy deals, part of a pact whic...",business,business,0.4,True,,,,,,,,,
"Weak data buffets French economy

A batch of downbeat government data has cast doubt over the French economy's future pr...",business,business,0.32,True,,,,,,,,,
"Business fears over sluggish EU economy

As European leaders gather in Rome on Friday to sign the new EU constitution, m...",business,Business,0.49,True,,,,,,,,,
"M&S cuts prices by average of 24%

Marks & Spencer has cut prices in London and the regions by an average of 24%, accord...",business,business,0.37,True,,,,,,,,,
"US bank 'loses' customer details

The Bank of America has revealed it has lost computer tapes containing account details...",business,Business,0.33,True,,,,,,,,,
"Huge rush for Jet Airways shares

Indian airline Jet Airways' initial public offering was oversubscribed 16.2 times, ban...",business,business,0.32,True,,,,,,,,,
"Bank payout to Pinochet victims

A US bank has said it will donate more than $8m to victims of former Chilean military r...",business,Business,0.33,True,,,,,,,,,
"Qwest may spark MCI bidding war

US phone company Qwest has said it will table a new offer for MCI after losing out to l...",business,Business,0.38,True,,,,,,,,,
"Fiat chief takes steering wheel

The chief executive of the Fiat conglomerate has taken day-to-day control of its strugg...",business,Business,0.38,True,,,,,,,,,
"Consumers drive French economy

France's economic growth accelerated in the last three months of 2004, driven by consume...",business,business,0.34,True,,,,,,,,,
"US regulator to rule on pain drug

US food and drug regulators will decide on Friday whether to recommend the sale of pa...",business,Business,0.39,True,,,,,,,,,
"Yukos bankruptcy 'not US matter'

Russian authorities do not have to abide by any US court decisions taken with regard t...",business,Business,0.37,True,,,,,,,,,
"Borussia Dortmund near bust

German football club and former European champion Borussia Dortmund has warned it will go b...",business,Business,0.35,True,,,,,,,,,
"'Post-Christmas lull' in lending

UK mortgage lending showed a ""post-Christmas lull"" in January, indicating a slowing ho...",business,business,0.31,True,,,,,,,,,
"UK 'risks breaking golden rule'

The UK government will have to raise taxes or rein in spending if it wants to avoid bre...",business,business,0.41,True,,,,,,,,,
"Worldcom director ends evidence

The former chief financial officer at US telecoms firm WorldCom has finished giving evi...",business,Business,0.34,True,,,,,,,,,
"Ukraine steel sell-off 'illegal'

The controversial sell-off of a Ukrainian steel mill to a relative of the former presi...",business,Business,0.34,True,,,,,,,,,
"Cairn shares up on new oil find

Shares in Cairn Energy have jumped 6% after the firm said an Indian oilfield was larger...",business,business,0.35,True,,,,,,,,,
"Georgia plans hidden asset pardon

Georgia is offering a one-off 'tax amnesty' to people who hid their earnings under th...",business,business,0.37,True,,,,,,,,,
"Cuba winds back economic clock

Fidel Castro's decision to ban all cash transactions in US dollars in Cuba has once more...",business,business,0.44,True,,,,,,,,,
"Novartis hits acquisition trail

Swiss drugmaker Novartis has announced 5.65bn euros ($7.4bn; £3.9bn) of purchases to ma...",business,Business,0.34,True,,,,,,,,,
"MCI shareholder sues to stop bid

A shareholder in US phone firm MCI has taken legal action to halt a $6.75bn (£3.6bn) b...",business,Business,0.37,True,,,,,,,,,
"'Standoff' on Deutsche's LSE bid

Deutsche Boerse investors unhappy with its London Stock Exchange bid will have no chan...",business,business,0.33,True,,,,,,,,,
